    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                  21	                   7	                   5	                  22	                  13	                  13	                  17	                  15	                  10	                   6	                   5	                  22	                   6	                  11
                  22	                   7	                   5	                  21	                  13	                  13	                  17	                  13	                  11	                   6	                   5	                  22	                   6	                  11
                  23	                   7	                   5	                  22	                  13	                  13	                  17	                  15	                  10	                   6	                   5	                  22	                   6	                  11
                  24	                   7	                   5	                  22	                  13	                  13	                  19	                  14	                  10	                   6	                   5	                  22	                   6	                  11
                  25	                   7	                   5	                  22	                  13	                  13	                  19	                  14	                  10	                   6	                   5	                  22	                   6	                  11
                  26	                   7	                   5	                  22	                  13	                  13	                  17	                  15	                  10	                   6	                   5	                  22	                   6	                  11
                  27	                   7	                   5	                  22	                  13	                  13	                  19	                  14	                  10	                   6	                   5	                  22	                   6	                  11
                  28	                   7	                   5	                  22	                  13	                  13	                  17	                  15	                  10	                   6	                   5	                  22	                   6	                  11
                  29	                   7	                   5	                  22	                  13	                  13	                  19	                  14	                  10	                   6	                   5	                  22	                   6	                  11
                  30	                   7	                   5	                  22	                  13	                  13	                  17	                  15	                  10	                   6	                   5	                  22	                   6	                  11
                  31	                   7	                   5	                  22	                  13	                  13	                  19	                  14	                  10	                   6	                   5	                  22	                   6	                  11
                  32	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  33	                   7	                   7	                  22	                  16	                  14	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  34	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  35	                   7	                   7	                  22	                  15	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  36	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
                  13	                   7	                   7	                  26	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   9	                  11
                  14	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  15	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  16	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  17	                   7	                   7	                  22	                  16	                  14	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  18	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  19	                   7	                   7	                  22	                  15	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  20	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
                  13	                   7	                   7	                  26	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   9	                  11
                  14	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  15	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  16	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  17	                   7	                   7	                  22	                  16	                  14	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  18	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  19	                   7	                   7	                  22	                  15	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  20	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
                  13	                   7	                   7	                  26	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   9	                  11
                  14	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  15	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  16	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  17	                   7	                   7	                  22	                  16	                  14	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  18	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  19	                   7	                   7	                  22	                  15	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  20	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
                  13	                   7	                   7	                  26	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   9	                  11
                  14	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  15	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  16	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  17	                   7	                   7	                  22	                  16	                  14	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  18	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  19	                   7	                   7	                  22	                  15	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  20	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   2	                   7	                   7	                  25	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   7	                  11
                   3	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   4	                   7	                   7	                  23	                  18	                  16	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   5	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                   6	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   9	                   6	                  26	                   7	                  11
                   7	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                   8	                   7	                   7	                  23	                  16	                  17	                  18	                  14	                  11	                   8	                   6	                  26	                   7	                  11
                   9	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  26	                   7	                  11
                  10	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  27	                   7	                  11
                  11	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   6	                   7	                  23	                   7	                  11
                  12	                   7	                   7	                  23	                  16	                  15	                  18	                  14	                  11	                   7	                   6	                  25	                   7	                  11
                  13	                   7	                   7	                  26	                  18	                  17	                  18	                  14	                  11	                   8	                   6	                  28	                   9	                  11
                  14	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  15	                   7	                   7	                  22	                  13	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  16	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  17	                   7	                   7	                  22	                  16	                  14	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  18	                   7	                   7	                  22	                  14	                  15	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
                  19	                   7	                   7	                  22	                  15	                  13	                  18	                  14	                  10	                   6	                   5	                  23	                   6	                  11
